Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
60.7,38454942298,8192,4694206.8,4611077.5,3474725,9506163,917764.0,"BSPT::Spectral::HWSS::ShadeKernelHWSSWavefront(BSPT::Spectral::HWSS::Core::GeometryBuffers, BSPT::Spectral::HWSS::RayHWSS *, BSPT::Spectral::HWSS::Core::WavefrontHitRecord *, const BSPT::Spectral::HWSS::Material *, const BSPT::Spectral::HWSS::MediumHWSS *, BSPT::Spectral::HWSS::LightBVH, BSPT::Spectral::HWSS::RayHWSS *, unsigned int, BSPT::Spectral::HWSS::FrameBufferHWSS, BSPT::Spectral::HWSS::EnvMapHWSS, unsigned int)"
37.1,23497513925,8192,2868348.9,2670158.0,1767059,8367410,913373.6,"BSPT::Spectral::HWSS::Core::TraversalKernelWavefront(BSPT::Spectral::HWSS::Core::GeometryBuffers, BSPT::Spectral::HWSS::RayHWSS *, BSPT::Spectral::HWSS::Core::WavefrontHitRecord *, unsigned int)"
2.2,1365726957,512,2667435.5,2598524.0,2434726,5791655,328016.8,"BSPT::Spectral::HWSS::GeneratePrimaryRaysHWSSKernel(BSPT::Spectral::HWSS::Core::Camera, BSPT::Spectral::HWSS::RayHWSS *, unsigned int, unsigned char)"
0.0,367018,1,367018.0,367018.0,367018,367018,0.0,"BSPT::Spectral::HWSS::ResolveFrameBufferKernel(BSPT::Spectral::HWSS::FrameBufferHWSS, unsigned int, float, BSPT::Spectral::HWSS::Core::ToneMapper, float, float4 *)"
0.0,110435,2,55217.5,55217.5,1408,109027,76098.1,"void NXB::BuildBVH2Kernel<unsigned long long>(NXB::BVH2BuildState, T1 *)"
0.0,62529,8,7816.1,7856.5,7136,8224,306.4,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.0,22400,1,22400.0,22400.0,22400,22400,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.0,8352,1,8352.0,8352.0,8352,8352,0.0,"void NXB::ComputeSceneBoundsKernel<NXB::Triangle>(NXB::BVH2BuildState, T1 *)"
0.0,5472,1,5472.0,5472.0,5472,5472,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.0,4352,1,4352.0,4352.0,4352,4352,0.0,"void NXB::ComputeSceneBoundsKernel<NXB::AABB>(NXB::BVH2BuildState, T1 *)"
0.0,3712,2,1856.0,1856.0,1440,2272,588.3,"void NXB::ComputeMortonCodesKernel<unsigned long long>(NXB::BVH2BuildState, T1 *)"
0.0,1280,1,1280.0,1280.0,1280,1280,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, unsigned int>(T2 *)"
