Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.3,10221469107,8192,1247737.9,220950.0,34913,11091521,1970485.7,"Vera::Spectral::HWSS::ShadeKernelHWSSWavefront(Vera::Core::GeometryBuffers, const Vera::Spectral::HWSS::RayHWSS *, const Vera::Core::WavefrontHitRecord *, const unsigned int *, const Vera::Spectral::HWSS::Material *, const Vera::Spectral::HWSS::MediumHWSS *, Vera::Spectral::HWSS::LightBVH, Vera::Spectral::HWSS::RayHWSS *, unsigned int, Vera::Spectral::HWSS::FrameBufferHWSS, Vera::Spectral::HWSS::EnvMapHWSS, unsigned int, unsigned long long)"
29.7,6838828311,8192,834817.9,209446.5,65282,6630272,1128888.2,"Vera::Core::TraversalKernelWavefront(Vera::Core::GeometryBuffers, const Vera::Spectral::HWSS::RayHWSS *, Vera::Core::WavefrontHitRecord *, unsigned int)"
12.3,2843692151,8192,347130.4,34017.0,1760,5588962,660414.3,"void cub::_V_300200_SM_860::detail::select::DeviceSelectSweepKernel<cub::_V_300200_SM_860::detail::select::policy_hub<Vera::Spectral::HWSS::RayHWSS, cub::_V_300200_SM_860::NullType, int, (bool)0, (cub::_V_300200_SM_860::SelectImpl)0>::Policy1000, Vera::Spectral::HWSS::RayHWSS *, cub::_V_300200_SM_860::NullType *, Vera::Spectral::HWSS::RayHWSS *, unsigned int *, cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, Vera::Spectral::HWSS::AliveOp, cub::_V_300200_SM_860::NullType, int, cub::_V_300200_SM_860::detail::select::streaming_context_t<long long, (bool)1>, (cub::_V_300200_SM_860::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300200_SM_860::detail::vsmem_t)"
6.1,1409792485,512,2753500.9,2623051.5,2440678,5712229,463250.8,"Vera::Spectral::HWSS::GeneratePrimaryRaysHWSSKernel(Vera::Core::Camera, Vera::Spectral::HWSS::RayHWSS *, unsigned int, unsigned char)"
4.8,1100830220,22528,48865.0,11200.0,4160,1574349,74312.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
2.2,507101570,8192,61902.0,6752.0,1312,1760371,122007.3,"Vera::Spectral::HWSS::ExtractMaterialKeysKernel(Vera::Core::GeometryBuffers, Vera::Core::WavefrontHitRecord *, unsigned int *, unsigned int *, unsigned int)"
0.3,78254970,5632,13894.7,3680.0,2752,1012990,27067.3,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.2,40750325,2560,15918.1,15713.0,15488,18849,420.6,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.0,9335956,8192,1139.6,1152.0,832,1600,155.6,"void cub::_V_300200_SM_860::detail::scan::DeviceCompactInitKernel<cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, unsigned int *>(T1, int, T2)"
0.0,7272393,5632,1291.3,1152.0,1088,1857,219.5,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, unsigned int>(T2 *)"
0.0,364395,1,364395.0,364395.0,364395,364395,0.0,"Vera::Spectral::HWSS::ResolveFrameBufferKernel(Vera::Spectral::HWSS::FrameBufferHWSS, unsigned int, float, Vera::Core::ToneMapper, float, float4 *)"
0.0,107203,2,53601.5,53601.5,1504,105699,73677.0,"void NXB::BuildBVH2Kernel<unsigned long long>(NXB::BVH2BuildState, T1 *)"
0.0,62050,8,7756.3,7808.5,7136,8032,267.2,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
