Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
66.5,10981437088,8192,1340507.5,215078.5,45089,9646233,2079137.2,"Vera::Spectral::HWSS::ShadeKernelHWSSWavefront(Vera::Core::GeometryBuffers, Vera::Spectral::HWSS::RayCoreSoA, Vera::Spectral::HWSS::RayExtSoA, const Vera::Core::WavefrontHitRecord *, const unsigned int *, const Vera::Spectral::HWSS::Material *, const Vera::Spectral::HWSS::MediumHWSS *, Vera::Spectral::HWSS::LightBVH, Vera::Spectral::HWSS::RayCoreSoA, Vera::Spectral::HWSS::RayExtSoA, unsigned int, Vera::Spectral::HWSS::FrameBufferHWSS, Vera::Spectral::HWSS::EnvMapHWSS, unsigned int, unsigned long long)"
10.3,1700304761,7680,221393.8,25408.0,1888,3466245,386602.3,"Vera::Spectral::HWSS::GatherRaysKernel(Vera::Spectral::HWSS::RayCoreSoA, Vera::Spectral::HWSS::RayExtSoA, const unsigned int *, unsigned int, Vera::Spectral::HWSS::RayCoreSoA, Vera::Spectral::HWSS::RayExtSoA)"
8.2,1350129851,8192,164810.8,27441.0,6528,2669262,272480.6,optixLaunch
6.6,1087828324,22528,48287.8,11361.0,4160,1313734,71075.5,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
4.2,691313099,512,1350220.9,1281189.0,1278502,2765521,267057.5,"Vera::Spectral::HWSS::GeneratePrimaryRaysHWSSKernel(Vera::Core::Camera, Vera::Spectral::HWSS::RayCoreSoA, Vera::Spectral::HWSS::RayExtSoA, unsigned int, unsigned char)"
3.0,499699443,8192,60998.5,7120.5,1344,1474219,115594.9,"Vera::Spectral::HWSS::ExtractMaterialKeysKernel(Vera::Core::GeometryBuffers, Vera::Core::WavefrontHitRecord *, unsigned int *, unsigned int *, unsigned int)"
0.5,81352150,8192,9930.7,3168.0,1568,905626,23523.5,"void cub::_V_300200_SM_860::detail::select::DeviceSelectSweepKernel<cub::_V_300200_SM_860::detail::select::policy_hub<unsigned int, bool, int, (bool)0, (cub::_V_300200_SM_860::SelectImpl)0>::Policy1000, thrust::_V_300200_SM_860::counting_iterator<unsigned int, thrust::_V_300200_SM_860::use_default, thrust::_V_300200_SM_860::use_default, thrust::_V_300200_SM_860::use_default, thrust::_V_300200_SM_860::compile_time_value<(int)1>>, thrust::_V_300200_SM_860::transform_iterator<Vera::Spectral::HWSS::AliveFromFlags, unsigned char *, thrust::_V_300200_SM_860::use_default, thrust::_V_300200_SM_860::use_default>, unsigned int *, unsigned int *, cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, cub::_V_300200_SM_860::NullType, cub::_V_300200_SM_860::NullType, int, cub::_V_300200_SM_860::detail::select::streaming_context_t<long long, (bool)1>, (cub::_V_300200_SM_860::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300200_SM_860::detail::vsmem_t)"
0.5,74749133,5632,13272.2,3840.5,2752,61761,16451.8,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.2,40801705,2560,15938.2,15744.0,15456,18817,442.7,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.1,8907859,8192,1087.4,1120.0,832,1376,112.8,"void cub::_V_300200_SM_860::detail::scan::DeviceCompactInitKernel<cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, unsigned int *>(T1, int, T2)"
0.0,7225394,5632,1282.9,1152.0,1120,1856,200.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, unsigned int>(T2 *)"
0.0,383978,2,191989.0,191989.0,32960,351018,224901.0,optixAccelBuild
0.0,371179,1,371179.0,371179.0,371179,371179,0.0,"Vera::Spectral::HWSS::ResolveFrameBufferKernel(Vera::Spectral::HWSS::FrameBufferHWSS, unsigned int, float, Vera::Core::ToneMapper, float, float4 *)"
0.0,109475,2,54737.5,54737.5,1472,108003,75328.8,"void NXB::BuildBVH2Kernel<unsigned long long>(NXB::BVH2BuildState, T1 *)"
0.0,61922,8,7740.3,7824.5,7104,7905,263.7,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.0,22433,1,22433.0,22433.0,22433,22433,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.0,8064,1,8064.0,8064.0,8064,8064,0.0,"void NXB::ComputeSceneBoundsKernel<NXB::Triangle>(NXB::BVH2BuildState, T1 *)"
0.0,5344,1,5344.0,5344.0,5344,5344,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
