Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.5,12969554045,8192,1583197.5,919706.5,165317,8547674,1729684.9,"Vera::Spectral::HWSS::ShadeKernelHWSSWavefront(Vera::Core::GeometryBuffers, Vera::Spectral::HWSS::RayHWSS *, Vera::Core::WavefrontHitRecord *, const unsigned int *, const Vera::Spectral::HWSS::Material *, const Vera::Spectral::HWSS::MediumHWSS *, Vera::Spectral::HWSS::LightBVH, Vera::Spectral::HWSS::RayHWSS *, unsigned int, Vera::Spectral::HWSS::FrameBufferHWSS, Vera::Spectral::HWSS::EnvMapHWSS, unsigned int)"
31.7,9224998155,8192,1126098.4,801927.0,153284,4495300,983383.4,"Vera::Core::TraversalKernelWavefront(Vera::Core::GeometryBuffers, Vera::Spectral::HWSS::RayHWSS *, Vera::Core::WavefrontHitRecord *, unsigned int)"
12.2,3552904566,8192,433704.2,207286.0,14848,3205245,584271.0,"void cub::_V_300200_SM_860::detail::select::DeviceSelectSweepKernel<cub::_V_300200_SM_860::detail::select::policy_hub<Vera::Spectral::HWSS::RayHWSS, cub::_V_300200_SM_860::NullType, int, (bool)0, (cub::_V_300200_SM_860::SelectImpl)0>::Policy1000, Vera::Spectral::HWSS::RayHWSS *, cub::_V_300200_SM_860::NullType *, Vera::Spectral::HWSS::RayHWSS *, unsigned int *, cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, Vera::Spectral::HWSS::AliveOp, cub::_V_300200_SM_860::NullType, int, cub::_V_300200_SM_860::detail::select::streaming_context_t<long long, (bool)1>, (cub::_V_300200_SM_860::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300200_SM_860::detail::vsmem_t)"
4.6,1347623977,512,2632078.1,2595260.0,2431719,4861583,199004.3,"Vera::Spectral::HWSS::GeneratePrimaryRaysHWSSKernel(Vera::Core::Camera, Vera::Spectral::HWSS::RayHWSS *, unsigned int, unsigned char)"
4.5,1322473772,32768,40358.7,13888.0,4192,728501,54981.8,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
2.1,606728884,8192,74063.6,32753.0,4832,932540,109543.4,"Vera::Spectral::HWSS::ExtractMaterialKeysKernel(Vera::Core::GeometryBuffers, Vera::Core::WavefrontHitRecord *, unsigned int *, unsigned int *, unsigned int)"
0.3,92734576,8192,11320.1,4480.0,2816,451853,14882.6,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.0,10096054,8192,1232.4,1152.0,1088,1761,172.5,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, unsigned int>(T2 *)"
0.0,9566905,8192,1167.8,1152.0,800,2592,81.9,"void cub::_V_300200_SM_860::detail::scan::DeviceCompactInitKernel<cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, unsigned int *>(T1, int, T2)"
0.0,366475,1,366475.0,366475.0,366475,366475,0.0,"Vera::Spectral::HWSS::ResolveFrameBufferKernel(Vera::Spectral::HWSS::FrameBufferHWSS, unsigned int, float, Vera::Core::ToneMapper, float, float4 *)"
0.0,109443,2,54721.5,54721.5,1472,107971,75306.2,"void NXB::BuildBVH2Kernel<unsigned long long>(NXB::BVH2BuildState, T1 *)"
0.0,62209,8,7776.1,7872.5,7072,8000,292.3,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.0,22401,1,22401.0,22401.0,22401,22401,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.0,8160,1,8160.0,8160.0,8160,8160,0.0,"void NXB::ComputeSceneBoundsKernel<NXB::Triangle>(NXB::BVH2BuildState, T1 *)"
0.0,5248,1,5248.0,5248.0,5248,5248,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.0,4384,1,4384.0,4384.0,4384,4384,0.0,"void NXB::ComputeSceneBoundsKernel<NXB::AABB>(NXB::BVH2BuildState, T1 *)"
0.0,3680,2,1840.0,1840.0,1408,2272,610.9,"void NXB::ComputeMortonCodesKernel<unsigned long long>(NXB::BVH2BuildState, T1 *)"
0.0,1280,1,1280.0,1280.0,1280,1280,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, unsigned int>(T2 *)"
