"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Compute Workload Analysis","Executed Ipc Active","inst/cycle","0.73","0.73","0.73"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","0.72","0.72","0.72"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Compute Workload Analysis","Issue Slots Busy","%","18.09","18.09","18.09"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Compute Workload Analysis","Issued Ipc Active","inst/cycle","0.73","0.73","0.73"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Compute Workload Analysis","SM Busy","%","18.09","18.09","18.09"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","6.99","6.99","6.99"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","SM Frequency","Ghz","1.73","1.73","1.73"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","3,234,977.00","3,234,977.00","3,234,977.00"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","Memory Throughput","%","19.75","19.75","19.75"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","DRAM Throughput","%","15.52","15.52","15.52"
