"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Compute Workload Analysis","Executed Ipc Active","inst/cycle","1.54","1.54","1.54"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","1.52","1.52","1.52"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Compute Workload Analysis","Issue Slots Busy","%","38.11","38.11","38.11"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Compute Workload Analysis","Issued Ipc Active","inst/cycle","1.55","1.55","1.55"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Compute Workload Analysis","SM Busy","%","38.11","38.11","38.11"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","6.99","6.99","6.99"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","SM Frequency","Ghz","1.73","1.73","1.73"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","2,140,685.00","2,140,685.00","2,140,685.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","Memory Throughput","%","71.96","71.96","71.96"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","DRAM Throughput","%","16.12","16.12","16.12"
