Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.7,12844621482,8192,1567947.0,915387.0,164933,7221331,1713673.6,"Vera::Spectral::HWSS::ShadeKernelHWSSWavefront(Vera::Core::GeometryBuffers, Vera::Spectral::HWSS::RayHWSS *, Vera::Core::WavefrontHitRecord *, const unsigned int *, const Vera::Spectral::HWSS::Material *, const Vera::Spectral::HWSS::MediumHWSS *, Vera::Spectral::HWSS::LightBVH, Vera::Spectral::HWSS::RayHWSS *, unsigned int, Vera::Spectral::HWSS::FrameBufferHWSS, Vera::Spectral::HWSS::EnvMapHWSS, unsigned int)"
31.5,9051121547,8192,1104873.2,788503.0,153924,4082936,958880.1,"Vera::Core::TraversalKernelWavefront(Vera::Core::GeometryBuffers, Vera::Spectral::HWSS::RayHWSS *, Vera::Core::WavefrontHitRecord *, unsigned int)"
12.2,3505542502,8192,427922.7,205222.0,15008,2680975,575834.3,"void cub::_V_300200_SM_860::detail::select::DeviceSelectSweepKernel<cub::_V_300200_SM_860::detail::select::policy_hub<Vera::Spectral::HWSS::RayHWSS, cub::_V_300200_SM_860::NullType, int, (bool)0, (cub::_V_300200_SM_860::SelectImpl)0>::Policy1000, Vera::Spectral::HWSS::RayHWSS *, cub::_V_300200_SM_860::NullType *, Vera::Spectral::HWSS::RayHWSS *, unsigned int *, cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, Vera::Spectral::HWSS::AliveOp, cub::_V_300200_SM_860::NullType, int, cub::_V_300200_SM_860::detail::select::streaming_context_t<long long, (bool)1>, (cub::_V_300200_SM_860::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300200_SM_860::detail::vsmem_t)"
4.6,1331953609,512,2601471.9,2595484.0,2427206,3114204,117733.6,"Vera::Spectral::HWSS::GeneratePrimaryRaysHWSSKernel(Vera::Core::Camera, Vera::Spectral::HWSS::RayHWSS *, unsigned int, unsigned char)"
4.5,1307356561,32768,39897.4,13952.0,4128,614066,53369.5,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
2.1,601760858,8192,73457.1,33793.0,4832,812536,107020.2,"Vera::Spectral::HWSS::ExtractMaterialKeysKernel(Vera::Core::GeometryBuffers, Vera::Core::WavefrontHitRecord *, unsigned int *, unsigned int *, unsigned int)"
0.3,92980043,8192,11350.1,4576.0,2784,520975,15148.6,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.0,10195649,8192,1244.6,1152.0,1088,1824,193.6,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, unsigned int>(T2 *)"
0.0,9841050,8192,1201.3,1184.0,832,1537,76.5,"void cub::_V_300200_SM_860::detail::scan::DeviceCompactInitKernel<cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, unsigned int *>(T1, int, T2)"
0.0,365418,1,365418.0,365418.0,365418,365418,0.0,"Vera::Spectral::HWSS::ResolveFrameBufferKernel(Vera::Spectral::HWSS::FrameBufferHWSS, unsigned int, float, Vera::Core::ToneMapper, float, float4 *)"
0.0,109540,2,54770.0,54770.0,1473,108067,75373.3,"void NXB::BuildBVH2Kernel<unsigned long long>(NXB::BVH2BuildState, T1 *)"
0.0,62178,8,7772.3,7856.5,7072,8096,302.9,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
