Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
48.4,10151361242,8192,1239179.8,228742.5,34753,7853953,1876130.0,"Vera::Spectral::HWSS::ShadeKernelHWSSWavefront(Vera::Core::GeometryBuffers, Vera::Spectral::HWSS::RayCoreSoA, Vera::Spectral::HWSS::RayExtSoA, const Vera::Core::WavefrontHitRecord *, const unsigned int *, const Vera::Spectral::HWSS::Material *, const Vera::Spectral::HWSS::MediumHWSS *, Vera::Spectral::HWSS::LightBVH, Vera::Spectral::HWSS::RayCoreSoA, Vera::Spectral::HWSS::RayExtSoA, unsigned int, Vera::Spectral::HWSS::FrameBufferHWSS, Vera::Spectral::HWSS::EnvMapHWSS, unsigned int, unsigned long long)"
31.1,6529018140,8192,796999.3,201782.0,67394,5408603,1090302.7,"Vera::Core::TraversalKernelWavefront(Vera::Core::GeometryBuffers, Vera::Spectral::HWSS::RayCoreSoA, Vera::Core::WavefrontHitRecord *, unsigned int)"
8.0,1681559187,7680,218953.0,24416.0,1824,3297278,393328.7,"Vera::Spectral::HWSS::GatherRaysKernel(Vera::Spectral::HWSS::RayCoreSoA, Vera::Spectral::HWSS::RayExtSoA, const unsigned int *, unsigned int, Vera::Spectral::HWSS::RayCoreSoA, Vera::Spectral::HWSS::RayExtSoA)"
5.5,1143738984,22528,50769.7,10928.5,4192,1793524,84804.1,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
3.4,704182826,512,1375357.1,1237636.0,1230500,3248157,388596.6,"Vera::Spectral::HWSS::GeneratePrimaryRaysHWSSKernel(Vera::Core::Camera, Vera::Spectral::HWSS::RayCoreSoA, Vera::Spectral::HWSS::RayExtSoA, unsigned int, unsigned char)"
2.6,546379349,8192,66696.7,7040.5,1344,1507596,138699.8,"Vera::Spectral::HWSS::ExtractMaterialKeysKernel(Vera::Core::GeometryBuffers, Vera::Core::WavefrontHitRecord *, unsigned int *, unsigned int *, unsigned int)"
0.4,80896679,8192,9875.1,3040.0,1505,934106,23629.5,"void cub::_V_300200_SM_860::detail::select::DeviceSelectSweepKernel<cub::_V_300200_SM_860::detail::select::policy_hub<unsigned int, bool, int, (bool)0, (cub::_V_300200_SM_860::SelectImpl)0>::Policy1000, thrust::_V_300200_SM_860::counting_iterator<unsigned int, thrust::_V_300200_SM_860::use_default, thrust::_V_300200_SM_860::use_default, thrust::_V_300200_SM_860::use_default, thrust::_V_300200_SM_860::compile_time_value<(int)1>>, thrust::_V_300200_SM_860::transform_iterator<Vera::Spectral::HWSS::AliveFromFlags, unsigned char *, thrust::_V_300200_SM_860::use_default, thrust::_V_300200_SM_860::use_default>, unsigned int *, unsigned int *, cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, cub::_V_300200_SM_860::NullType, cub::_V_300200_SM_860::NullType, int, cub::_V_300200_SM_860::detail::select::streaming_context_t<long long, (bool)1>, (cub::_V_300200_SM_860::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300200_SM_860::detail::vsmem_t)"
0.4,75594804,5632,13422.4,3777.0,2752,690451,18761.4,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.2,40979510,2560,16007.6,15809.0,15552,18657,389.9,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.0,8993935,8192,1097.9,1120.0,800,1408,109.6,"void cub::_V_300200_SM_860::detail::scan::DeviceCompactInitKernel<cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, unsigned int *>(T1, int, T2)"
0.0,7142390,5632,1268.2,1152.0,1088,1920,203.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, unsigned int>(T2 *)"
0.0,369738,1,369738.0,369738.0,369738,369738,0.0,"Vera::Spectral::HWSS::ResolveFrameBufferKernel(Vera::Spectral::HWSS::FrameBufferHWSS, unsigned int, float, Vera::Core::ToneMapper, float, float4 *)"
0.0,109283,2,54641.5,54641.5,1344,107939,75374.0,"void NXB::BuildBVH2Kernel<unsigned long long>(NXB::BVH2BuildState, T1 *)"
0.0,61762,8,7720.3,7792.0,7137,7968,247.4,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.0,22432,1,22432.0,22432.0,22432,22432,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.0,8288,1,8288.0,8288.0,8288,8288,0.0,"void NXB::ComputeSceneBoundsKernel<NXB::Triangle>(NXB::BVH2BuildState, T1 *)"
0.0,5312,1,5312.0,5312.0,5312,5312,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.0,4352,1,4352.0,4352.0,4352,4352,0.0,"void NXB::ComputeSceneBoundsKernel<NXB::AABB>(NXB::BVH2BuildState, T1 *)"
0.0,3648,2,1824.0,1824.0,1408,2240,588.3,"void NXB::ComputeMortonCodesKernel<unsigned long long>(NXB::BVH2BuildState, T1 *)"
0.0,1280,1,1280.0,1280.0,1280,1280,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, unsigned int>(T2 *)"
